Unnamed: 0,node,count,count_rescaled,cluster,AI_summary,cluster_name
0,ESG,8,22.77777777777778,2,"신한금융은 지난해 ESG 활동으로 4조8389억원의 사회적 가치를 창출했다고 밝혔습니다. 이는 이전에 비해 큰 증가폭을 보였으며, 신한금융은 사회적 가치 측정을 통해 지속 가능한 성장을 추구할 것이라고 밝혔습니다. 
HMM은 국내외에서 ESG 우수기업으로 평가를 받고 있습니다. 특히, 글로벌 ESG 평가기관인 서스테이널리틱스로부터 가장 우수한 성적을 기록했으며, 국내에서도 높은 평가를 받았습니다. HMM은 ESG 이행 노력을 통해 지속 가능한 성장을 위해 노력할 것이라고 밝혔습니다.
한국회계기준원과 금융위원회는 국제 지속가능성 공시 세미나를 열었습니다. 이를 통해 국내 산업구조와 국제 기준을 모두 고려한 균형 있는 공시 제도를 만들 것이라고 밝혔습니다. 정부는 국내 ESG 공시 제도를 만들 때 국제사회의 논의와 기업들의 준비 상황을 균형 있게 고려할 예정입니다.","에너지, 자동차, 철강"
2,LNG,6,21.666666666666668,2,"울산 북항에서 SK가스, 에이치라인해운, 울산항만공사가 LNG 벙커링 사업을 추진하기 위한 업무협약을 체결했습니다. 울산북항에 건설 중인 국내 최대 규모의 벙커링 전용부두는 성능과 규모 면에서 해외와 어깨를 나란히 할 것으로 기대되며, 에이치라인해운은 안정적인 LNG 벙커링 수요 개발과 경쟁력 있는 LNG 벙커링 전용선박 운영을 위해 노력할 계획입니다. 울산항만공사는 안정적인 LNG 벙커링 서비스 제공을 위해 공급망 구축, 규정 마련, 정책적 지원 등을 추진할 예정입니다. SK가스는 이번 LNG 벙커링 사업에 참여하여 국내 최초로 민간과 공공이 협력하는 사례에 기쁨을 표하고 있습니다. SK가스, 에이치라인해운, 울산항만공사는 LNG 벙커링 사업을 위한 MOU를 체결하여 친환경 연료 전환 사업으로 꼽히는 LNG 벙커링 사업의 추진 속도가 더욱 가속화될 것으로 전망되고 있습니다.","에너지, 자동차, 철강"
7,니켈,5,21.11111111111111,2,포스코퓨처엠이 필리핀에서 니켈 혼합물 생산 공장 건설에 나선다. 이번 협약을 통해 필리핀에 생산체제를 구축해 양극재 원료 공급망을 확보하고 사업 수익성을 높일 수 있다는 기대가 있다. 이 합작은 탄소배출량을 줄이는 환경친화적인 제련 기술을 사용하며 ESG 차원에서도 경쟁력이 있다는 평가를 받고 있다. 또한 필리핀에서 생산한 니켈 혼합물로 국내에서 양극재를 제조하면 북미 시장으로의 공급 확대에도 도움이 될 것으로 기대된다. 김준형 포스코퓨처엠 사장은 이번 협약이 친환경 원료 공급망 구축에 중요한 기점이 될 것이라고 밝혔다.,"에너지, 자동차, 철강"
11,맥신,8,22.77777777777778,2,"맥신 테마에 대한 이슈와 전망은 다음과 같습니다.
1. 코스피와 코스닥 지수의 하락에 따라 맥신 관련 종목들도 약세를 보였습니다. 비트코인도 7% 급락하였으며, 코스닥지수는 전날보다 8.72포인트 밀려 하락하였습니다.
2. 한국과학기술연구원은 맥신의 자기수송 특성을 이용해 표면의 분자 분포를 예측하는 방법을 개발하였습니다. 이를 통해 대량생산 가능성이 열리게 되었고, 이에 연관된 주식인 나인테크의 주가가 강세를 보였습니다.
3. 맥신의 분자 분포를 예측하는 방법을 개발하면서, 맥신의 대량생산이 가능해지고 품질관리도 가능해졌습니다. 이로써 맥신의 제조 및 특성에 집중된 연구와 달리, 분류와 대량생산이 가능해졌습니다.
4. 코닉오토메이션은 맥신을 이용한 투명 플렉시블 유기발광다이오드를 개발하여 관련주로 묶였습니다. 이를 통해 맥신에 대한 대량생산의 가능성이 높아졌습니다.
5. 맥신에 대한 대량생산이 가능해지면서 맥신 관련 주식들이 강세를 보이고 있으며, 향후 맥신을 이용한 OLED 디스플레이 등의 개발도 기대됩니다.","에너지, 자동차, 철강"
14,반도체,21,30.0,2,"삼성전자와 SK하이닉스가 메모리 반도체 재고 감소를 공식화한 가운데 메모리 반도체 가격의 하락세가 이어지고 있어 3분기 업황 회복이 더딘 모습이다. 현재와 같이 전 세계 경제의 불확실성이 계속되면 내년의 반도체 업황이 다시 나빠질 수 있는 우려가 나온다. 삼성전자는 2분기 말 DS부문 재고자산이 직전 분기보다 1조7000억원 가량 늘어난 것으로 집계됐다. 산업통상자원부는 부산 전력반도체 소재·부품·장비 특화단지에 8천억원, 울산 이차전지 국가첨단전략산업 특화단지에 8조1천억원의 민간 투자가 확정됐다고 밝혔다. 이로써 반도체 업계에 대한 전망은 불확실성을 지속하고 있으며, 메모리 반도체 가격 하락세가 지속될 가능성이 있다.","에너지, 자동차, 철강"
15,방위산업/전쟁 및 테러,6,21.666666666666668,2,"HD현대중공업은 한화오션과 벌인 해군의 차기 호위함 수주전에서 사실상 판정패했습니다. 이번 결과는 HD현대중공업이 과거 한화오션의 KDDX 개념 설계 자료를 유출한 것에 따른 감점 문제로 인해 발생한 것이었습니다. HD현대중공업은 기술 능력에서 한화오션을 앞섰음에도 보안사고 감점으로 수주에 실패했다고 주장하고 있습니다. 이번 결과는 내년 KDDX 사업에도 영향을 미칠 수 있으며, HD현대중공업은 이에 대한 가처분 신청을 제기하였습니다. 방위산업 전체적으로는 이번 갈등으로 인해 불확실성이 증가하였습니다.","에너지, 자동차, 철강"
16,배터리,23,31.11111111111111,2,"국내 배터리 업체들의 투자 속도가 빨라지고 있다. SK온은 충남 서산에 총 1조5000억원을 투자하여 국내 배터리 전초 기지를 구축한다. LG에너지솔루션도 청주에 6000억원을 투자하여 마더 라인을 구축한다. 배터리 3사의 국내 투자 확대는 일자리 확대와 지역경제 활성화에 기여하기 위한 것이다. SK온은 해외 공장에서 생산을 담당하고 국내에서는 연구개발과 테스트배드 역할로 나누어 전략을 풀이한다. SK온은 서산 공장을 글로벌 배터리 생산기지 구축과 배터리 전문인력 양성의 핵심 시설로 설명했다.

SK온은 포드와 에코프로비엠과 함께 캐나다에 배터리 양극재 공장을 짓기 위해 1조 2천억원을 투자한다. 2026년 상반기에 가동될 예정이며, 이를 통해 북미에서 안정적인 배터리 핵심 소재 공급망을 구축하게 됐다. SK온은 파트너십을 강화하여 글로벌 자동차 시장 전동화를 이끌어 나갈 것이라고 밝혔다.

SK온의 국내 투자는 최대 규모일자리 800개를 창출할 것으로 예상된다. SK온은 서산공장을 스마트 팩토리로 운영하여 생산 능력을 최대 14기가와트시까지 늘릴 계획이다. 이를 통해 SK온의 국내 총 생산능력은 약 20GWh로 확대될 것이다.","에너지, 자동차, 철강"
24,스마트홈,6,21.666666666666668,2,"LG전자는 오는 9월 1일부터 독일 베를린에서 열리는 유럽 최대 가전전시회 IFA 2023에서 고효율 에너지 기술을 집약한 소형 모듈러 주택 LG 스마트코티지를 선보인다고 밝혔습니다. 스마트코티지는 세컨드 하우스를 표방하며, LG전자의 앞선 에너지 및 냉난방공조 기술, 차별화된 프리미엄 가전이 결합됩니다. LG전자는 이번 전시회에서 유럽 시장 고객들의 선호에 맞게 내부 구조를 변경했습니다. 스마트코티지는 에너지 및 냉난방공조 기술과 차별화된 프리미엄 가전을 결합한 세컨드 하우스 형태의 소형 모듈러 주택입니다. LG전자는 올해 3월 시제품을 공개한 뒤 충북 진천군 소재 뤁스퀘어에 진열해 공간·가전·서비스의 융합이라는 혁신적인 주거공간 콘셉트를 제시했습니다. LG전자는 이번 IFA에서 LG 스마트코티지를 통해 지속가능한 주거 솔루션을 제시할 것입니다.","에너지, 자동차, 철강"
27,양극재,3,20.0,2,"7월 양극재 출하량 반등으로 올 4분기 양극재 업체 수익성 정상화 전망.
테슬라의 전기차 생산량 감소로 엘앤에프, 포스코퓨처엠의 양극재 출하량 제한적.
에코프로비엠, LG화학 등 청주 지역 양극재 수출량 역대 최대치 기록.
에코프로비엠, 코스모신소재 등 양극재 기업 벨류에이션 과열 현상 관측.
엘앤에프 실적 둔화 전망, 테슬라 공급 업체로서의 강점은 여전히 유지됨.","에너지, 자동차, 철강"
28,에너지,16,27.22222222222222,2,"삼성물산은 미국 신재생에너지법인 삼성C&T 리뉴어블스가 미국 태양광 프로젝트를 매각하여 추가 수익구조를 확보했다. 한국에너지공단은 태양광발전용 인버터 KS인증 적용범위를 확대하여 전력계통 안정화를 위한 조치를 취했다. 한수원은 에너지 효율혁신을 위한 업무협약을 체결하여 중소·중견기업의 에너지 효율 개선을 지원하고자 한다. 이러한 협력을 통해 국가 에너지 위기 극복과 온실가스 감축, 탄소중립 달성에 기여할 것으로 예상된다.","에너지, 자동차, 철강"
